id,date_detection,priorite,score,statut,titre,organisme,type_financement,zone,themes,montant,deadline,deadline_date,deadline_status,deadline_source,lien,eligibilite_ambition_campus,pieces_probables,responsable,prochaine_action,notes
53e4e02c00,2026-07-10,A - à traiter vite,54,écarté,Postulez à l'appel à projets « Éducation par le - Ville de Paris Ville de Paris,Ville de Paris - Appels à projets,subvention,Paris,éducation/orientation,,5 août 2026,2026-08-05,vérifié source,https://www.paris.fr/pages/appel-a-projets-education-par-le-sport-promo-6-2025-2026-30692,https://www.paris.fr/pages/appel-a-projets-education-par-le-sport-promo-6-2025-2026-30692,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,Vérifié 03/08 : deadline réelle 05/08 (pas 08/08). Hors cible x2 : sport obligatoire + public cycle 3 (CM1-6e).
c8f10b52c2,2026-07-17,A - à traiter vite,50,écarté,Coopérations rurales et solidarités locales : candidater à l'appel à projets Ruralinnov' | Avise,Avise - Actualités ESS,appel à projets,France,jeunesse; insertion; Europe,,"Jusqu'au 14 août 2026 Date et horaires : Jusqu'au vendredi 14 août 2026 Candidater Familles Rurales lance la 8e édition de son appel à initiatives Ruralinnov', pour soutenir des pr",2026-08-14,ouvert,https://www.avise.org/agenda/cooperations-rurales-et-solidarites-locales-candidater-lappel-projets-ruralinnov,https://www.avise.org/agenda/cooperations-rurales-et-solidarites-locales-candidater-lappel-projets-ruralinnov,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,"Vérifié 03/08 : réservé réseau Familles Rurales (ou parrainage), territoires ruraux. AC inéligible."
47368a924d,2026-07-10,B - intéressant,45,écarté,Appel à manifestation d’intérêt – Conception d'atelier sur l’innovation sociale et démocratique | Office franco-québécois pour la jeunesse,Carenews - Appels à projets,mécénat/fondation,France,jeunesse; insertion; vie associative; Europe,,avant le 16 août 2026,2026-08-16,ouvert,https://www.carenews.com/office-franco-quebecois-pour-la-jeunesse/appels-a-projet/appel-a-manifestation-d-interet-conception,https://www.carenews.com/office-franco-quebecois-pour-la-jeunesse/appels-a-projet/appel-a-manifestation-d-interet-conception,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,"Vérifié 03/08 : AMI prestataire (animation d'un atelier au Forum mondial de la Démocratie), pas un financement."
dda1d47822,2026-07-03,C - veille,24,dossier préparé,"Prix Grande Cause 2026 : les candidatures sont ouvertes | Admical, l’expert du mécénat d’entreprise",Admical - Mécénat,subvention,France,insertion,,23 août 2026 minuit,2026-08-23,vérifié source,https://admical.org/actualit%C3%A9s/prix-grande-cause-2026-les-candidatures-sont-ouvertes,https://admical.org/actualit%C3%A9s/prix-grande-cause-2026-les-candidatures-sont-ouvertes,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,"Vérifié 03/08 sur my.forumdesassociations.com : dotation = 30 000 EUR HT de mécénat de compétences (com), zéro cash. Dossier prêt (Bureau/AAP Ambition Campus - aout 2026)."
8a2e3c79c1,2026-07-03,A - à traiter vite,81,écarté,Prix Inspiring Young Europeans 2026 |,Carenews - Appels à projets,subvention,France,jeunesse; insertion; vie associative; Europe,,des projets communs avec des partenaires européens. Pour plus d'informations : https://www.inspiringyoungeuropeans.eu/qui-sommes-nous Candidatures ouvertes du 22 juin au 28 août 20,2026-08-28,ouvert,https://www.carenews.com/appels-a-projet/prix-inspiring-young-europeans-2026,https://www.carenews.com/appels-a-projet/prix-inspiring-young-europeans-2026,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,Re-vérifié 03/08 : projet transnational UE toujours exigé. Écarté.
2ee77baba6,2026-07-10,B - intéressant,44,écarté,La Fondation d'Entreprise Michelin ouvre son appel à projets 2026 du 2e semestre | Avise,Avise - Actualités ESS,appel à projets,France,jeunesse; insertion; Europe,,Jusqu'au 31 août 2026 Date et horaires : Jusqu'au lundi 31 août 2026 Informations et candidatures La Fondation d'Entreprise Michelin ouvre son appel à projets 2026 du second semest,2026-08-31,ouvert,https://www.avise.org/agenda/la-fondation-dentreprise-michelin-ouvre-son-appel-projets-2026-du-2e-semestre,https://www.avise.org/agenda/la-fondation-dentreprise-michelin-ouvre-son-appel-projets-2026-du-2e-semestre,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,"Vérifié 03/08 : thématiques H2 2026 (forêts, alimentation, modèles collaboratifs, régions Michelin) hors cible, priorité bassins Michelin, refus AC début 2026. Ne pas s'acharner."
7454377f21,2026-07-02,B - intéressant,39,dossier préparé,Tickets-Loisirs | Région Île-de-France,Région Île-de-France - Aides et appels à projets,subvention,Île-de-France,aide aux étudiants; insertion; vie associative,,réouverture 1er septembre 2026,2026-09-01,vérifié source,https://www.iledefrance.fr/aides-et-appels-a-projets/tickets-loisirs,https://www.iledefrance.fr/aides-et-appels-a-projets/tickets-loisirs,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,Vérifié 03/08 (règlement) : sorties journée = dépôt via la commune uniquement ; séjours = dépôt direct possible (asso de solidarité >1 an). Projet séjour Toussaint monté (Bureau/AAP aout 2026).
02139291f7,2026-07-17,B - intéressant,44,écarté,Appel à projets de la Fondation OCIRP : lieux alternatifs du prendre soin | Avise,Avise - Actualités ESS,appel à projets,France,jeunesse; insertion; Europe,,Jusqu'au 14 septembre 2026 Date et horaires : Jusqu'au lundi 14 septembre 2026 Informations et candidatures La Fondation OCIRP lance un appel à projets pour soutenir des lieux alte,2026-09-14,ouvert,https://www.avise.org/agenda/appel-projets-de-la-fondation-ocirp-lieux-alternatifs-du-prendre-soin,https://www.avise.org/agenda/appel-projets-de-la-fondation-ocirp-lieux-alternatifs-du-prendre-soin,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,Vérifié 03/08 : 100% santé/autonomie. Hors cible AC.
c642fd3a6a,2026-07-03,A - à traiter vite,54,écarté,Appel à projets pour un numérique inclusif et durable |,Carenews - Appels à projets,appel à projets,France,égalité des chances; jeunesse; insertion; vie associative,,6 septembre 2026,2026-09-06,vérifié source,https://www.carenews.com/appels-a-projet/appel-a-projets-pour-un-numerique-inclusif-et-durable,https://www.carenews.com/appels-a-projet/appel-a-projets-pour-un-numerique-inclusif-et-durable,Probable si association loi 1901 éligible; vérifier règlement,statuts; RIB; budget prévisionnel; rapport d'activité; présentation projet,à assigner,Lire le règlement + confirmer éligibilité + noter deadline,"Vérifié 03/08 : fonds ADN Ouest, réservé Bretagne/Pays de la Loire, cœur numérique. Hors cible."
manual-maif-2026,2026-08-03,haute,85,dossier préparé,Fonds MAIF pour l'éducation - AAP mécénat national session #2,MAIF (ajout manuel),mécénat,national/interrégional,"éducation, égalité des chances, orientation","5 000 à 15 000 EUR, renouvelable 3 ans",1er septembre au 1er octobre 2026 midi,2026-10-01,vérifié source,https://aapfondsmaifpourleducation.maif.fr/,https://entreprise.maif.fr/engagements/education-et-prevention/fonds-maif-education/appel-projets-mecenat-national,"Éligible (intérêt général + portée interrégionale via antennes). Refus avril 2026 ""raisons budgétaires"", re-candidature invitée.",,,"Dossier prêt (Bureau/AAP aout 2026), dépôt sur aapfondsmaifpourleducation.maif.fr dès le 01/09",Ajout manuel 03/08/2026 après qualification à la source.
manual-pv-paris-2027,2026-08-03,haute,88,dossier préparé,"Politique de la ville Paris 2027 (État + Ville, DAUPHIN/Paris Asso)",Préfecture de Paris + Ville de Paris (ajout manuel),subvention publique,Paris QPV,"cohésion sociale, discriminations, jeunesse","quelques milliers EUR par action, 2 financeurs cumulables","ouverture attendue ~08/09, clôture ~fin octobre 2026",2026-10-22,estimé (pattern 2026),https://www.prefectures-regions.gouv.fr/ile-de-france,https://usager-dauphin.cget.gouv.fr,Éligible (lycéens des 21 QPV parisiens). Vérifier les thématiques 2027 à la publication.,,,"Trame DAUPHIN pré-rédigée (Bureau/AAP aout 2026), alerte semaine du 01/09",Ajout manuel 03/08/2026.
